ProductNameEN;ImageLink;Price;DescriptionEN;DescriptionRU;ProductNameRU
Air Jordan 7;Shoe_1.webp;699£;They are stylish and iconic.;Они стильные и культовые.;Эйр Джордан 7
Air Jordan 5;Shoe_2.webp;349£;They are stylish and iconic.;Они стильные и культовые.;Эйр Джордан 5
Air Jordan 3;Shoe_3.jpg;199£;They are stylish and iconic.;Они стильные и культовые.;Эйр Джордан 3
Air Jordan 5;Shoe_4.jpg;799£;They are stylish and iconic.;Они стильные и культовые.;Эйр Джордан 5
Air Jordan 7;Shoe_5.webp;269£;They are stylish and iconic.;Они стильные и культовые.;Эйр Джордан 7
Air Jordan 2;Shoe_6.webp;169£;They are stylish and iconic.;Они стильные и культовые.;Эйр Джордан 2
Jordan Running;Shoe_7.png;267£;They are stylish and iconic.;Они стильные и культовые.;Джордан Раннинг
Nike Schube;Shoe_8.jpg;139£;They are stylish and iconic.;Они стильные и культовые.;Найк Шубе
Nike Low Dunk 3;Shoe_9.webp;149£;They are stylish and iconic.;Они стильные и культовые.;Найк Лоу Данк 3
Nike Cortez Pink;Shoe_10.webp;199£;They are stylish and iconic.;Они стильные и культовые.;Найк Кортез Розовые
Nike DownShifter;Shoe_11.webp;159£;They are stylish and iconic.;Они стильные и культовые.;Найк Дауншифтер
Nike Lebron Witness;Shoe_12.webp;249£;They are stylish and iconic.;Они стильные и культовые.;Найк Леброн Уитнесс